V1	V2
ACTN1	GRB2
ACTN1	TPM4
ACTN1	SORBS2
ACTN1	IQGAP1
ACTN1	PDHX
ACTN1	TPM1
ACTN1	DBN1
ACTN1	TPM2
PES1	BUB3
PES1	NAP1L1
PES1	RPL38
PES1	WDR12
PES1	NIP7
KRT7	GRB2
KRT7	OGT
TM9SF3	STOM
CTH	PTMA
CTH	SERPINB8
CTH	ENO2
CTH	SDCBP2
MFN1	MFN2
CD63	SDCBP
GDA	ASNS
GDA	PEPD
FLAD1	SDCBP
SF3B3	KPNB1
SF3B3	STOM
SERPINE1	VTN
CS	PDHX
CS	ALDOA
TXLNA	STX12
TXLNA	DDX17
TXLNA	BTF3
ECPAS	KIF5B
ECPAS	FN1
BAX	SERPINH1
BAX	BCL2L1
PTBP1	NCL
PTBP1	FAS
PTBP1	PDHB
PTBP1	IQGAP1
PTBP1	PCBP2
PTBP1	DDX17
ITGA3	CD151
AKR1B1	PCMT1
MVP	TRIP6
MVP	PARP4
CAPN1	ACTC1
CAPN1	PEPD
CAPN1	CAST
CAPN1	FN1
GLS	PEPD
GLS	GDA
GLS	ATXN10
GLS	CAPN1
ENO2	AKR1B1
MAP4	ENO2
SSRP1	DDX21
SSRP1	NAP1L1
HDLBP	S100A10
HDLBP	S100A11
FAS	CAV1
FAS	FAS
FAS	NDRG1
FAS	PML
BAG2	HSPA8
BAG2	STXBP2
BAG2	FN1
ITIH2	FN1
GNAS	OPTN
GNAS	FLNA
GNAS	DBN1
GNAS	ARMCX3
GNAS	DNAJC7
MYL6	TPM2
MYL6	FN1
SDF4	ARL8B
HP1BP3	TMPO
HP1BP3	VTN
ABAT	AKR1B1
ABAT	GDA
ABAT	ALDH5A1
TRIM21	IGHG1
TRIM21	SQSTM1
ATP6V1A	CHMP4B
ATP6V1A	DBN1
ATP6V1A	STOM
ATP6V1A	RMDN3
NUTF2	TAGLN2
KPNB1	NCL
KPNB1	CERS2
KPNB1	H1F0
KPNB1	NUTF2
SNAP29	STX12
SNAP29	NAPA
ARPC5	PPP2R1B
ARPC5	ARPC1B
ARPC5	DBN1
NMT1	RPL38
NMT1	VIM
MARCKS	DBN1
MARCKS	NMT1
TAGLN2	SNX3
CDH1	CRYAB
CDH1	CAV1
CDH1	NDRG1
CDH1	LIMA1
CDH1	ACTN1
CDH1	GNA13
CDH1	CDH1
CDH1	IQGAP1
CHMP4B	CHMP4A
TPM1	TPM4
DNAJC7	BAG2
DNAJC7	HSPA8
DNAJC7	TPM1
MYLK	ACTC1
MYLK	MYL12A
TKFC	FLAD1
TKFC	SDCBP
NAP1L1	DBN1
NAP1L1	EIF1AX
NAP1L1	NCL
SORBS2	DBN1
SORBS2	AFDN
IQGAP1	TPM1
IQGAP1	ANXA2
IQGAP1	DBN1
RPL23A	RPL23A
RPL23A	RPL35A
RPL23A	PPIA
