V1	V2
SRSF2	SNRNP70
SRSF2	TPM4
SRSF2	ALYREF
SRSF2	BTF3
SRSF2	HUWE1
SRSF2	GOLGA2
SRSF2	EIF5
SRSF2	FUS
MAP2K3	MAPK14
MAP2K3	SMAD3
MAP2K3	SPAG9
ALYREF	UBA5
ALYREF	DDX3X
RBBP4	ATP6V1A
RBBP4	HUWE1
RBBP4	ELAVL1
RBBP4	FN1
RBBP4	RBBP4
EBNA1BP2	PES1
EBNA1BP2	RECQL
EBNA1BP2	DDX21
EBNA1BP2	ZNF622
EBNA1BP2	API5
EBNA1BP2	WDR12
EBNA1BP2	DDX56
EBNA1BP2	POLR1C
TM9SF4	ELAVL1
TM9SF4	TM9SF4
ASL	FBP1
HMOX1	HMOX1
HMOX1	ELAVL1
HMOX1	ASL
LMAN1	ELAVL1
LMAN1	BCAP29
LMAN1	LMAN1
CFL2	MYH9
CFL2	PPP1CB
CFL2	ABAT
CFL2	MYO18A
CFL2	GRB2
CFL2	DBN1
CFL2	AKR1B1
CPM	ELAVL1
CDH1	USP9X
CDH1	CDH1
CDH1	CAV1
CDH1	LMNA
ECPAS	LDHB
ECPAS	TIMM8B
ECPAS	MYH10
ECPAS	USP9X
ECPAS	UBR4
ECPAS	MAN2B1
ECPAS	CPD
ECPAS	IKBKG
ECPAS	PSMD4
ECPAS	FN1
ECPAS	HSPB1
TRIP6	STOM
RNF213	PTPN1
RNF213	GOLGA2
RNF213	TRIP6
ABCC2	NFKB1
PPP1CB	PPP1R7
PPP1CB	MYO18A
PPP1CB	TRIM28
PPP1CB	PPP1CB
PPP1CB	ELAVL1
ILF3	FUS
ILF3	FN1
ILF3	PPP1CC
ILF3	SF3B1
ILF3	TPM4
ILF3	SFPQ
ILF3	HNRNPL
ILF3	TMPO
ILF3	TRIP6
ILF3	SLIRP
ILF3	MRPS35
ILF3	PTPN1
ILF3	GRB2
ILF3	RMDN3
ILF3	MYH10
ILF3	MRPL12
ILF3	RCN1
ILF3	HUWE1
ILF3	ILF3
ILF3	SNRNP70
ILF3	PPP1CB
IQGAP1	MYL1
IQGAP1	CDH1
IQGAP1	GRB2
IQGAP1	CFL2
IQGAP1	GOLIM4
IQGAP1	MYO18A
IQGAP1	DSG2
IQGAP1	FN1
IQGAP1	PPP1CB
IQGAP1	MYH9
IQGAP1	TPM4
IQGAP1	RUVBL1
IQGAP1	MAPK14
IQGAP1	MYH10
IQGAP1	SDHB
IQGAP1	VASP
IQGAP1	SMC3
IQGAP1	DBN1
IQGAP1	TPM1
IQGAP1	PPP1CC
IQGAP1	LASP1
EIF4G1	DDX3X
EIF4G1	PTBP1
EIF4G1	EIF5
EIF4G1	PDCD4
EIF4G1	FN1
EIF4G1	EIF4G2
EIF4G1	AIMP2
EIF4G1	FTL
EIF4G1	GK
EIF4G1	YWHAZ
EIF4G1	HSPB1
EIF4G1	IQGAP1
TM9SF3	ELAVL1
TM9SF3	TM9SF3
LPGAT1	CLPTM1
LPGAT1	LPGAT1
LPGAT1	ELAVL1
LPGAT1	TM9SF3
B4GALT1	ELAVL1
TFRC	HUWE1
TFRC	ARFGAP1
TFRC	FN1
TFRC	CAV1
TFRC	B4GALT1
RPS5	FN1
RPS5	FUS
RPS5	DYNC1LI2
RPS5	POLR2E
RPS5	CRK
RPS5	RPLP2
RPS5	ATP6V1B2
RPS5	IKBKG
RPS5	DYNC1I2
RPS5	GRB2
RPS5	MAP3K14
RPS5	RPL38
RPS5	RPL23A
RPS5	RPL30
STAT2	HSPB1
STAT2	IFIT2
STAT2	GBP1
STAT2	STAT2
STAT2	ELAVL1
GOLGA2	NCSTN
GOLGA2	IFT27
PDCD6	FN1
PDCD6	GOLGA2
PDCD6	LMAN1
FAS	CAV1
FAS	SQSTM1
FAS	IKBKG
FAS	FAS
FAS	UBA7
FAS	PML
FAS	FAF2
FAS	PDCD6
SQSTM1	CDC37
ENAH	TRIM28
ENAH	ZYX
ENAH	ELAVL1
PIK3R1	EEF1D
PIK3R1	CRK
PIK3R1	CKAP5
PIK3R1	SQSTM1
PIK3R1	MYLK
IKBIP	OXA1L
IKBIP	FLNA
IKBIP	PDCD6
IKBIP	ELAVL1
LASP1	VASP
LASP1	CRK
LASP1	GOLGA2
LASP1	ARFGAP1
LASP1	ZYX
MAP4	FN1
MAP4	ENO2
MAP4	PDCD6
MAP4	PIK3R1
MAP4	LASP1
TPM1	CDC37
TPM1	GOLGA2
TPM1	AHCYL1
TPM1	TPM4
TPM1	SRXN1
TPM1	MYO18A
TPM1	SF3B1
TPM1	MYH9
TPM1	ENDOG
TPM1	ELAVL1
TPM1	PPP1CB
TPM1	ZYX
TPM1	DBN1
IKBKG	NSFL1C
IKBKG	TRIM28
IKBKG	H1F0
IKBKG	TXLNA
IKBKG	YWHAZ
IKBKG	HDLBP
IKBKG	PPP1CB
IKBKG	CDC37
IKBKG	PBXIP1
IKBKG	ANXA1
IKBKG	HSPA8
IKBKG	GYG2
IKBKG	SQSTM1
IKBKG	MACROD1
IKBKG	HPD
IKBKG	POLR2E
IKBKG	EIF1AX
IKBKG	PPP1CC
IKBKG	EEF1A2
IKBKG	DDX3X
IKBKG	VIM
IKBKG	MYH9
IKBKG	NFKB1
IKBKG	FLNA
IKBKG	MAP3K14
IKBKG	TPM1
SPAG9	MAPK14
NFKB1	CCAR2
NFKB1	HSPA8
NFKB1	NFKB1
NFKB1	MYLK
NFKB1	VIM
NFKB1	EEF1A2
NFKB1	HMGB1
NFKB1	RUVBL2
NFKB1	MYH10
NFKB1	MYH9
NFKB1	RUVBL1
NFKB1	SFPQ
NFKB1	SPAG9
POLR1C	RUVBL1
POLR1C	DKC1
VASP	GRB2
VASP	UAP1
VASP	ZYX
VASP	VASP
VASP	ENAH
VASP	FN1
HSPB1	ANXA1
HSPB1	EEF1D
HSPB1	CRK
HSPB1	EIF1AX
HSPB1	DFFA
HSPB1	AHNAK
HSPB1	ZYX
HSPB1	NAPA
HSPB1	LASP1
HSPB1	EIF5
HSPB1	SQSTM1
TRIM28	HUWE1
HTRA2	HAX1
HTRA2	EIF4G1
HTRA2	MAPK14
HTRA2	ASS1
HTRA2	CCAR2
HTRA2	NDUFAF4
HTRA2	GOT1
HTRA2	CDK5
HTRA2	VIM
HTRA2	ALDH1A2
HTRA2	TRIM28
LDHB	PCMT1
LDHB	LMNA
LDHB	CKAP5
LDHB	IDE
LDHB	PHGDH
LDHB	SDCBP
LDHB	ASS1
LDHB	FTO
ACSL3	MTHFD1
ACSL3	KIF20B
LTN1	PDS5A
LTN1	ACSL3
GRB2	CKAP5
GRB2	HSPB1
GRB2	MYH10
GRB2	MYH9
GRB2	AFDN
GRB2	SMAD3
GRB2	FTL
GRB2	GRB2
GRB2	PPP1CC
GRB2	ARPC5
GRB2	MYO18A
GRB2	PPP1CB
GRB2	LMNA
GRB2	PHGDH
GRB2	S100A6
GRB2	TPM1
GRB2	MAPK14
GRB2	CRK
GRB2	RUVBL2
GRB2	PTPN1
GRB2	FN1
GRB2	EEF1D
GRB2	VIM
GRB2	RUVBL1
GRB2	PDCD6
GRB2	H1F0
GRB2	MYLK
GRB2	AHNAK
GRB2	CBR1
GRB2	PIK3R1
GRB2	TMPO
GRB2	CALD1
PCBP2	FUS
PCBP2	TRIP6
PCBP2	SNRPA
PCBP2	FN1
PCBP2	PIK3R1
PCBP2	RUVBL1
PCBP2	ELAVL1
PCBP2	RUVBL2
PCBP2	HUWE1
SUMF2	ELAVL1
APOD	SUMF2
NDUFA4	NDUFAF2
NDUFA4	TBRG4
NDUFA4	GHITM
NDUFA4	SDHB
NDUFA4	ACACA
NDUFA4	CHDH
NDUFA4	OXA1L
NDUFA4	CISD1
NDUFA4	NDUFV2
NAP1L1	RBBP4
NAP1L1	NAP1L1
NAP1L1	FUS
NAP1L1	HSPB1
NAP1L1	MYH9
NAP1L1	ALYREF
NAP1L1	HUWE1
DCAKD	ELAVL1
STOM	RUVBL1
MYH9	MYH10
MYH9	PPP1CC
MYH9	MYO18A
MYH9	AHNAK
MYH9	HUWE1
MYH9	CPM
MYH9	PPP1CB
MYH9	CALD1
MYH9	ARPC1B
MYH9	STOM
TPM4	PCMT1
TPM4	TRIP6
TPM4	CENPE
TPM4	PPP1CC
TPM4	DBN1
TPM4	PPP1CB
TPM4	ZYX
TPM4	MYH9
TPM4	SRXN1
TPM4	MYO18A
SNRNP70	SLIRP
SNRNP70	SMAD3
SNRNP70	FN1
SNRNP70	PPM1G
SNRNP70	TPM4
MAP3K14	RUVBL1
MAP3K14	DDX21
MAP3K14	RUVBL2
MAP3K14	DDX3X
MAP3K14	HSPA8
MAP3K14	SFPQ
MAP3K14	CDC37
MAP3K14	HSPA1B
MAP3K14	RPL30
RPS6KA3	MAPK14
RPS6KA3	CDC37
RPS6KA3	HSPA8
RPS6KA3	DFFA
RPS6KA3	GDA
GNAS	FUS
GNAS	RUVBL1
GNAS	OPTN
GNAS	GNB1
GNAS	GNG5
GNAS	MYH9
GNAS	DBN1
GNAS	FLNA
GNAS	RUVBL1
SFPQ	DDX21
SFPQ	SNRPA
SFPQ	SMC3
SFPQ	SF3B1
SFPQ	SNRNP70
SFPQ	ELAVL1
SFPQ	FUS
SFPQ	HUWE1
SFPQ	PTBP1
SFPQ	SFPQ
SFPQ	FN1
SFPQ	HNRNPL
RAC1	PIK3R1
RAC1	STOM
RAC1	TOM1
RAC1	DDX3X
RAC1	CAV1
RAC1	RBMX
RAC1	MYH9
RAC1	PLD1
RAC1	IQGAP1
RAC1	LIMA1
RAC1	FLNA
RAC1	FN1
RAC1	NGEF
RAC1	SFPQ
ATL3	LPGAT1
L2HGDH	ATL3
COQ9	L2HGDH
COQ9	SLC16A1
COQ9	SNAP29
COQ9	IDE
COQ9	SLC25A4
COQ9	HSDL2
COQ9	COQ8A
COQ9	CISD1
COQ9	TBRG4
COQ9	GLS
COQ9	MGST1
COQ9	CHDH
COQ9	NDUFAF2
COQ9	HSDL1
COQ9	NDUFAF4
COQ9	RAB32
COQ9	SDHB
COQ9	ACACA
COQ9	OXA1L
COQ9	DCAKD
COQ9	GLRX5
WDR12	PUS1
DDX6	GRB2
DDX6	CRK
DDX6	TIMM8B
DDX6	FN1
DDX6	GOLGA2
DDX6	WDR12
YWHAZ	SF3B1
YWHAZ	MYH9
YWHAZ	SQSTM1
YWHAZ	ASS1
YWHAZ	FN1
YWHAZ	EIF5
YWHAZ	IQGAP1
YWHAZ	AARS
YWHAZ	RUVBL1
YWHAZ	PTBP1
YWHAZ	LDHB
YWHAZ	TPD52
YWHAZ	CTH
YWHAZ	ARL6IP1
YWHAZ	HIBADH
YWHAZ	LMNA
YWHAZ	PIK3R1
YWHAZ	MVP
YWHAZ	EXOC5
YWHAZ	VIM
YWHAZ	HSPB1
YWHAZ	MYOF
YWHAZ	FLNA
YWHAZ	GRB2
YWHAZ	PDCD6
YWHAZ	TRIM28
YWHAZ	RUVBL2
YWHAZ	TFRC
YWHAZ	DDX3X
YWHAZ	AFDN
YWHAZ	ALDOA
YWHAZ	KIF1C
YWHAZ	HSPA8
YWHAZ	S100A6
YWHAZ	FUS
YWHAZ	AHNAK
YWHAZ	DFFA
YWHAZ	HUWE1
YWHAZ	HNRNPL
YWHAZ	RMDN3
YWHAZ	PPP1CC
YWHAZ	ARL3
YWHAZ	ANXA1
PPP1CC	PPP1R7
PPP1CC	TRIM28
PPP1CC	PPP1CB
PPP1CC	CPM
DBN1	MYH9
DBN1	ARPC5
DBN1	STOM
DBN1	PPP1CB
DBN1	ARPC1B
DBN1	MYO18A
DBN1	PPP1CC
PHGDH	NCSTN
PHGDH	HUWE1
MTHFD1	PHGDH
EIF3E	DDX3X
EIF3E	FN1
EIF3E	HUWE1
STX12	MYH9
STX12	NAPA
STX12	STX5
STX12	ELAVL1
STX12	CISD1
STX12	GOLGA2
STX12	BET1
STX12	RER1
VIM	UROD
VIM	CAPN1
VIM	HSPB1
VIM	SMAD3
VIM	POLR1C
VIM	DYNLT1
VIM	EEF1D
VIM	ZYX
VIM	GOPC
VIM	PLA2G2A
VIM	TRIM28
UBR4	GRB2
UBR4	USP9X
UBR4	FAF2
UBR4	STAT2
UBR4	VIM
SEC23B	FN1
SEC23B	ZYX
MAN2A1	SEC23B
LMNA	PPP1CC
LMNA	TAGLN2
LMNA	RUVBL1
LMNA	CRK
LMNA	DDX3X
LMNA	STX5
LMNA	PCMT1
LMNA	SMAD3
LMNA	TRIM28
LMNA	EEF1D
LMNA	RBBP4
LMNA	SDCBP
LMNA	DYNLT1
LMNA	AIMP2
LMNA	FN1
TMPO	BST2
TMPO	LMNA
TMPO	STOM
TMPO	LMNA
CAVIN1	CKAP5
CAVIN1	CAVIN1
CAVIN1	ILF3
CAVIN1	SNAP29
CAVIN1	CDC37
CAVIN1	CAV1
CAVIN1	PTPN1
CAVIN1	ELAVL1
FLNA	FN1
FLNA	MYO18A
FLNA	PCBP2
FLNA	ACAD10
FLNA	TPM4
FLNA	PPP1CC
FLNA	CRK
FLNA	PIK3R1
FLNA	MAPK14
FLNA	TPM1
FLNA	GRB2
FLNA	MYH9
FLNA	SMAD3
FLNA	POLR1C
FLNA	LMNA
FLNA	IQGAP1
FLNA	CPM
FLNA	PPP1CB
FLNA	CFL2
FLNA	CAV1
FLNA	UAP1
FLNA	DBN1
FLNA	DYNC1LI2
FLNA	S100A10
FLNA	RPS6KA3
FLNA	ARPC1B
FN1	AHNAK
FN1	RPL30
FN1	YARS
FN1	MYH10
FN1	ALDOA
FN1	CKAP5
FN1	TRIM28
FN1	ANXA1
FN1	ITGA5
FN1	POLR1C
FN1	HMGB1
FN1	C3
FN1	PHGDH
FN1	HRG
FN1	EEF1D
FN1	APCS
FN1	MYH9
FN1	SF3B1
FN1	ZYX
FN1	HSPB1
FN1	ALYREF
FN1	RUVBL2
ENO2	TAGLN2
ENO2	PPP1CC
ENO2	PCMT1
ENO2	AKR1B1
TPD52	AARS
TPD52	ENO2
CBR1	UBA5
NME2	RANBP6
NME2	AKR1B1
NME2	OAT
NME2	VIM
NME2	ENO2
NME2	HIBCH
NME2	YWHAZ
NME2	NME3
NME2	RUVBL2
NME2	HPRT1
NME2	RPL38
NME2	CFL2
NME2	PPP1R7
NME2	CACYBP
NME2	LDHB
NME2	CBR1
ALDOA	TAGLN2
ALDOA	NCSTN
ALDOA	LMAN1
ALDOA	LTA4H
ALDOA	HUWE1
PSMD4	AHCYL1
PSMD4	AIMP2
PSMD4	GOT2
PSMD4	DLD
PSMD4	NAP1L1
PSMD4	HUWE1
PSMD4	SQSTM1
PSMD4	ALDOA
BHMT2	BHMT
HARS	CKAP5
G6PD	CAPN1
G6PD	LDHB
G6PD	YWHAZ
G6PD	ZNF622
G6PD	HSPB1
G6PD	EIF5
G6PD	HARS
ELAVL1	ILF3
ELAVL1	HSPA1B
ELAVL1	RUVBL1
ELAVL1	HMOX1
ELAVL1	LPP
ELAVL1	H2AFV
ELAVL1	MARCKSL1
ELAVL1	LAPTM4A
ELAVL1	NAP1L1
ELAVL1	VTA1
ELAVL1	RAB10
ELAVL1	UAP1
ELAVL1	PPP1R12A
ELAVL1	LTA4H
ELAVL1	PTMA
ELAVL1	DDX3X
ELAVL1	HNRNPL
ELAVL1	PPP1CB
ELAVL1	GOLIM4
ELAVL1	NCSTN
ELAVL1	LPCAT1
ELAVL1	BUB3
ELAVL1	RDH5
ELAVL1	SLC35F6
ELAVL1	PVR
ELAVL1	C9orf64
ELAVL1	UBE4A
ELAVL1	SDCBP
ELAVL1	PCBP2
ELAVL1	RAB21
ELAVL1	DPYSL2
ELAVL1	EXOSC6
ELAVL1	PPP1CC
ELAVL1	CTH
ELAVL1	STX7
ELAVL1	CAST
ELAVL1	GRB2
ELAVL1	ALYREF
TXLNA	ELAVL1
IDH3B	DBT
DLD	DBT
DLD	ASS1
DLD	HSDL2
DLD	VTA1
DLD	OGDHL
DLD	SDHB
DLD	PDHB
DLD	OGDH
DLD	GRB2
DLD	FN1
BCKDK	DBT
BCKDK	DLD
RPL23A	RPL23A
RPL23A	SF3B1
RPL23A	DDX56
RPL23A	RPL38
RPL23A	ILF3
RPL23A	RPL34
RPL23A	RPL30
RPL23A	NAP1L1
RPL23A	GRB2
RPL23A	FN1
RPL23A	ILF3
QARS	MAP3K14
QARS	CCAR2
QARS	SDCBP
QARS	PTBP1
QARS	AIMP2
QARS	EIF4G1
QARS	MRPS23
QARS	AARS
QARS	ASL
QARS	RPL23A
SERPINH1	TPM4
SERPINH1	GRB2
SERPINH1	VIM
SERPINH1	AHCYL1
SERPINH1	CRK
SERPINH1	ELAVL1
STX7	CISD1
STX7	NAPA
STX7	TM9SF4
STX7	STX12
STX7	BET1
STX7	STX5
STX7	GOLGA2
STX7	SNAP29
STX7	SERPINH1
RUVBL2	FAS
RUVBL2	DKC1
RUVBL2	TRIM28
RUVBL2	RUVBL1
RUVBL2	FAS
RUVBL2	STOM
RUVBL2	HUWE1
POLR2E	PPP1R7
POLR2E	RPRD1B
POLR2E	TRIM28
POLR2E	RUVBL1
POLR2E	PPP1CB
POLR2E	POLR1C
POLR2E	RUVBL2
YARS	AHNAK
SNRPA	AHCYL1
SNRPA	PPM1G
SNRPA	SF3B1
SNRPA	FN1
SNRPA	YARS
ABCB6	TCAF1
ABCB6	SDCBP
ARPC1B	MYO18A
ARPC1B	CRK
LIMA1	CAV1
LIMA1	PPP1CC
LIMA1	MYO18A
LIMA1	CDH1
LIMA1	YWHAZ
LIMA1	AFDN
LIMA1	DBN1
LIMA1	CFL2
LIMA1	STOM
LIMA1	KIF1C
LIMA1	CALD1
LIMA1	DSG2
LIMA1	IQGAP1
LIMA1	MYH9
LIMA1	PPP1CB
LIMA1	CPM
LIMA1	RRAS2
LIMA1	FLNA
LIMA1	ARPC1B
ITGA3	FN1
ITGA3	CD151
RUVBL1	AHNAK
RUVBL1	HUWE1
HSPA8	PPP1CC
HSPA8	ATXN10
HSPA8	HSPB1
HSPA8	DNAJC1
HSPA8	CRK
HSPA8	LPGAT1
HSPA8	KIF1C
HSPA8	GRB2
HSPA8	HMGB1
HSPA8	CCAR2
HSPA8	FBP1
HSPA8	SQSTM1
HSPA8	CDH1
HSPA8	GOT2
HSPA8	YARS
HSPA8	FN1
HSPA8	LMAN1
HSPA8	CDC37
HSPA8	RUVBL1
CTH	PTMA
CTH	DLD
CTH	SERPINB8
CTH	ENO2
CTH	CTH
SDHB	OXA1L
SDHB	NDUFV2
SDHB	CISD1
UAP1	SCLY
UAP1	HSPB1
UAP1	SDHB
TGFBI	FN1
TRAF1	IKBKG
TACO1	GAPDH
LAMP2	DDX21
HYPK	HTT
PYCARD	NUP107
ACSF2	MAIP1
DENR	NLRX1
NAMPT	MVD
LPCAT1	AUP1
CYP4A11	CYB5A
RTN4IP1	C15orf48
ADH5	ALDH4A1
SYAP1	PSMB4
SPTLC1	AUP1
ZW10	DCTN2
ZW10	ACTR1A
CYP2A6	CYB5A
ARL6IP1	SDCBP
ARL6IP1	TUFM
PPP1R7	TTLL12
SORBS2	PAK2
ACOX1	SCP2
GOLM1	DCTN2
MTIF2	HSD17B8
TWF1	IQGAP1
TWF1	CFL1
FLNC	ANK3
FLNC	ENO1
TOR1AIP1	NIT2
MACF1	YWHAE
FGA	FN1
CLU	HSPA5
CLU	CYP2E1
ACTR1A	DCTN2
IDH2	TRAP1
HMOX1	HMOX1
TCP1	CCT4
SEPHS2	UMPS
SEPHS2	SEC24A
GSS	ECHS1
PPIF	VDAC3
NUP88	CAND1
KIF1B	YWHAE
KIF1B	SEC24A
CROCC	EZR
ACAD9	C15orf48
ACAD9	DBT
NOP9	BCCIP
AGMAT	CLPX
SRXN1	TTLL12
SRXN1	CFL1
CLPX	LONP1
NFS1	C15orf48
NFS1	ACADM
DNAJB11	EPHX1
DNAJB11	HSPA5
HP	MVP
TRIP11	YWHAE
CAPN2	PAFAH1B1
SEL1L	SEL1L
SEL1L	HSPA5
SEL1L	UBXN4
SEL1L	AUP1
CYP2E1	ECHS1
CYP2E1	CYB5A
FUBP3	FN1
TIAL1	HMOX1
CFL2	CFL1
CFL2	LDHA
CFL2	LDHB
MUC16	LGALS1
H2AFV	CAND1
H2AFV	NUP107
H2AFV	TM9SF4
H2AFV	FN1
CYP3A4	CYB5A
UGT1A1	CYP3A4
FGG	FGA
FGG	FGG
FGG	FN1
PPP1R12A	YWHAZ
PPP1R12A	IQGAP1
PPP1R12A	TTLL12
TBC1D9B	AMPD2
TBC1D9B	SEC62
EEF1A2	TTLL12
EEF1B2	EEF1B2
EEF1B2	ENO1
EEF1B2	FN1
EEF1B2	EEF1A2
NDUFB8	LMAN1
NDUFB8	VDAC3
GPT2	CFL1
EIF2B1	MTAP
EIF2B1	DCD
SPTBN1	MAPK14
SPTBN1	HSPA5
SPTBN1	ACTR1A
SPTBN1	IQGAP1
CYP2D6	CYB5A
CYP2C9	CYP2D6
MCAM	ATP11C
NASP	ARF6
TXNDC17	CFL1
REXO2	TXNDC17
EIF2A	YWHAE
TTR	OTUB1
SERPINH1	CFL1
SERPINH1	LGALS1
SERPINH1	HSPA5
MTAP	CFL1
MTAP	GOT1
DCTN2	PAFAH1B1
CPS1	MAIP1
CPS1	HSPA5
AP1M1	AP2B1
AP1M1	AP1G1
TIMM21	MAIP1
TIMM21	C15orf48
SLC25A11	VDAC3
SLC25A11	VDAC2
TM9SF4	IGF2R
TM9SF4	H1FX
ABAT	PDXK
ABAT	CFL1
ABAT	ALDH5A1
PI4KA	FN1
IQGAP1	RUVBL1
IQGAP1	HSPA5
IQGAP1	NIPSNAP1
IQGAP1	TRAP1
IQGAP1	EZR
IQGAP1	CFL1
IQGAP1	LASP1
IQGAP1	PAFAH1B1
EZR	PDXK
EZR	ENO1
ALAS1	CDC73
PHYH	ABCD3
NSUN2	TTLL12
WASF2	ARPC3
ACTR3	IQGAP1
ACTR3	PPP1R12A
ACTR3	CTTN
ACTR3	ARPC3
ACTR3	CORO1B
ACTR3	TTLL12
ACTR3	WASF2
GSTO1	LDHA
GSTO1	CAPN1
GSTO1	FN1
TFRC	FN1
AP2B1	XPO7
AP2B1	FN1
AP2B1	TFRC
FASN	PC
FASN	HSPA5
HSD17B8	CBR4
AKR1B10	PGK1
APOOL	C15orf48
SAMM50	NDUFB8
SAMM50	CYC1
SAMM50	C15orf48
SAMM50	APOOL
UBR4	PSMD14
UBR4	STAT2
UQCRQ	DNAJA3
UQCRQ	C15orf48
UQCRQ	LMAN1
CDC73	FGG
CDC73	UQCRQ
ABHD5	PLIN2
DDX3X	FN1
DDX3X	MATR3
FKBP8	UQCRC2
FKBP8	NDUFB10
FKBP8	DHODH
FKBP8	MTOR
FKBP8	MAPK14
FKBP8	UQCRC1
MATR3	BTF3
MATR3	RUVBL2
MATR3	RUVBL1
SGTA	DNAJB12
SGTA	SERPINE1
SGTA	TFRC
SGTA	PSMD14
SGTA	SUOX
TUFM	PC
TUFM	NLRX1
TUFM	CAPN2
GLO1	ACY1
GLO1	ALDOA
GLO1	UMPS
IKBKG	DNAJA3
IKBKG	MTOR
IKBKG	YWHAZ
IKBKG	NLRX1
IKBKG	LMCD1
IKBKG	POLR2E
IKBKG	HPCAL1
IKBKG	PCK1
IKBKG	DDX3X
IKBKG	FASN
IKBKG	HSPA5
IKBKG	GLO1
NTPCR	FN1
ACAA1	NDUFA2
ACAA1	VDAC3
ACAA1	SCP2
HSD17B4	SCP2
HSD17B4	ACAA1
TOP1	H1FX
TOP1	HDGF
TOP1	DDX21
ARF6	OAT
ARF6	EZR
ARF6	TARS
ARF6	IQGAP1
ARF6	CLIC1
OAT	EZR
OAT	PDXK
GOT1	GPT2
GOT1	PC
GOT1	NANS
GOT1	OAT
HIBCH	CLIC1
HIBCH	UMPS
HIBCH	ACADM
ACOT9	HIBCH
AP1G1	PAFAH1B1
AP1G1	AP2B1
AP1G1	NPM3
AP1G1	PRRC1
NDUFB10	CYC1
PSMD14	PCK1
PSMD14	PSMB3
PHB	VDAC3
PHB	UQCRQ
PHB	CYC1
PHB	FN1
PHB	DHRS2
PHB	LMAN1
PHB	VDAC2
COX4I1	VDAC2
COX4I1	GLDC
COX4I1	NDUFA2
COX4I1	ECHS1
COX4I1	PHB
COX4I1	DBT
COX4I1	VDAC3
COX4I1	NDUFB7
MTOR	YWHAZ
MTOR	RUVBL2
MTOR	PPP2R2A
MTOR	RUVBL1
MTOR	YWHAQ
NDUFB7	UQCRQ
NDUFB7	VDAC3
NDUFB7	NDUFB10
CORO1B	FN1
CORO1B	TARS
CORO1B	IQGAP1
CORO1B	OSBP
NIPSNAP1	ENO1
NIPSNAP1	C15orf48
NIPSNAP1	LASP1
PSMB6	PSMB3
PSMB6	DCTN2
PSMB6	PSMD14
PSMB6	PSME1
PSMB6	PSMD4
LDHB	FN1
LDHB	CFL1
LDHB	PGK1
LDHB	PPIA
LDHB	MIF
LDHB	ACADM
LDHB	PAK2
LDHB	HSPA9
LDHB	ENO1
MAIP1	C15orf48
MAIP1	SFXN4
OTUB1	MAIP1
HTT	EZR
HTT	OSTF1
HTT	DCTN2
HAX1	YWHAQ
HAX1	CLU
HAX1	HPCAL1
HAX1	CTTN
HAX1	HSPA5
HAX1	HTT
GAPDH	GSS
GAPDH	ENO1
GAPDH	YWHAE
GAPDH	ALDOA
GAPDH	PGK1
GAPDH	TYMP
GAPDH	TRAP1
NIT2	LDHB
NIT2	LDHA
NIT2	ENO1
MRPL12	ACOX1
MRPL12	IDH2
MRPL12	CAND1
MRPL12	TRAP1
MRPL12	NIT2
COX6C	PHB
COX6C	APOOL
COX6C	C15orf48
COX6C	COX6B1
OSBP	XPO7
CAND1	TIAL1
CAND1	ACADM
CAND1	MATR3
CAND1	PDXK
CAND1	HSPA9
CAND1	LDHA
CAND1	H1FX
CAND1	GAPDH
CAND1	CARS
CAND1	OSBP
ARPC3	IQGAP1
ARPC3	IQGAP1
ARPC3	NIPSNAP1
ARPC3	EZR
ARPC3	LASP1
ARPC3	PGK1
ARPC3	LGALS4
CTTN	NOP9
CTTN	IQGAP1
CTTN	ARPC3
CPT2	UQCRQ
CPT2	C15orf48
CPT2	MAIP1
CPT2	ARG2
AGXT	YWHAE
ACADM	VDAC2
ACADM	SEC63
AASS	ACADM
MRPS34	FN1
MRPS34	CAND1
MRPS34	DDX21
GNAS	PCK1
GNAS	RUVBL1
GNAS	GNG5
GNAS	CPT2
GNAS	RUVBL1
MVD	NANS
MVD	HMGCS1
HSPA9	FN1
HSPA9	ENO1
HSPA9	DNAJA3
HSPA9	CPS1
HSPA9	CAPN1
HSPA9	HSPA9
HSPA9	DNAJB12
HSPA9	ECHS1
HSPA9	MVD
UQCRC2	AFG3L2
UQCRC2	NLRX1
UQCRC2	COX4I1
UQCRC2	EHD4
UQCRC2	TUFM
UQCRC2	PHB
UQCRC2	UQCRC1
UQCRC2	NDUFB8
UQCRC2	VDAC2
UQCRC2	LMAN1
UQCRC2	ACADM
UQCRC2	C15orf48
UQCRC2	NDUFB7
UQCRC2	UQCRQ
UQCRC2	PC
USP15	OTUB1
USP15	ANK3
USP15	UGP2
USP15	PLA2G2A
USP15	FN1
USP15	ALDOA
USP15	CAND1
USP15	ECHS1
NDUFA2	ACAD9
NDUFA2	UQCRQ
NDUFA2	NDUFB7
NDUFA2	C15orf48
ECI2	SCP2
ECI2	NDUFA2
NDUFA6	C15orf48
COX6B1	ACOX1
COX6B1	TRAP1
COX6B1	NDUFA6
CCT4	PCK1
CCT4	PPP2R2A
VDAC2	MAGT1
VDAC2	UQCRQ
VDAC2	DHRS2
VDAC2	SCP2
VDAC2	CYC1
NUP107	ITPR2
NUP107	NUP88
NUP107	PNPT1
ACLY	FN1
ACLY	NUP107
STT3B	SEL1L
STT3B	MAGT1
STT3B	AUP1
STT3B	MLEC
